,date,no_data,no_water,water,total_pixels,total_obs,prop_water,prop_obs,prop_water_dq,prop_obs_gt_dq
151,1996-10-01,16237.607843137255,1959887.5098039035,174691.16862745097,2150816.286274492,2134578.6784313545,0.08183871149496673,0.9924504905664151,0.08183871149496673,0.13
152,1996-11-01,208823.9372549014,1785793.3921568454,156198.9568627451,2150816.286274492,1941992.3490195905,0.08043232350611562,0.9029094495017922,0.08043232350611562,0.13
153,1996-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
154,1997-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
155,1997-02-01,30251.08235294118,1928552.7176470407,192012.4862745098,2150816.286274492,2120565.2039215504,0.09054778693879448,0.9859350691428228,0.09054778693879448,0.13
156,1997-03-01,15294.349019607844,1938410.8235293939,197111.11372549017,2150816.286274492,2135521.9372548843,0.09230114207062068,0.9928890490939608,0.09230114207062068,0.13
157,1997-04-01,39327.16078431379,1922830.6274509626,188658.4980392157,2150816.286274492,2111489.1254901784,0.0893485530006786,0.9817152394487242,0.0893485530006786,0.13
158,1997-05-01,18958.858823529412,1957984.3960784131,173873.031372549,2150816.286274492,2131857.4274509624,0.08155940877361907,0.9911852727987434,0.08155940877361907,0.13
159,1997-06-01,1407095.2784313653,665276.3843137254,78444.62352941177,2150816.2862745025,743721.0078431371,0.10547587428908155,0.34578546414643346,,0.0
160,1997-07-01,4075.6117647058823,1968584.3882352759,178156.2862745098,2150816.286274492,2146740.6745097856,0.08298919771257061,0.9981050860593186,0.08298919771257061,0.13
161,1997-08-01,16292.86274509804,1953320.0156862563,181203.40784313725,2150816.286274492,2134523.4235293935,0.08489174016348852,0.9924248003657626,0.08489174016348852,0.13
162,1997-09-01,67942.91372549,1910809.2156862565,172064.1568627451,2150816.286274492,2082873.3725490016,0.08260903381379087,0.9684106382497333,0.08260903381379087,0.13
163,1997-10-01,15198.858823529412,1952023.2901960604,183594.13725490196,2150816.286274492,2135617.4274509624,0.085967708867237,0.992933446282455,0.085967708867237,0.13
164,1997-11-01,1584903.0980392126,558892.1137254832,7021.074509803922,2150816.2862745,565913.1882352871,0.012406628182138783,0.2631155398286127,,0.0
165,1997-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
166,1998-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
167,1998-02-01,92749.44313725483,1863189.4823529234,194877.36078431376,2150816.286274492,2058066.8431372372,0.09468951965002763,0.9568770965102235,0.09468951965002763,0.13
168,1998-03-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
169,1998-04-01,58262.066666666535,1907916.972549002,184637.24705882353,2150816.2862744923,2092554.2196078254,0.08823534670151925,0.9729116489221008,0.08823534670151925,0.13
170,1998-05-01,349957.57254901953,1797443.627450964,3415.086274509804,2150816.286274493,1800858.7137254737,0.0018963654663640681,0.8372908115015283,0.0018963654663640681,0.13
171,1998-06-01,9618.235294117647,1989527.8823529228,151670.168627451,2150816.2862744913,2141198.0509803738,0.07083425494339814,0.9955281000262567,0.07083425494339814,0.13
172,1998-07-01,243207.08235294124,1768082.0392156686,139527.16470588234,2150816.2862744923,1907609.203921551,0.07314242582760169,0.8869233583988666,0.07314242582760169,0.13
173,1998-08-01,21444.09411764706,1982407.1098039031,146965.0823529412,2150816.2862744913,2129372.1921568443,0.06901803399812413,0.9900297881067327,0.06901803399812413,0.13
174,1998-09-01,944956.1725490142,1120602.3647058764,85257.74901960784,2150816.2862744983,1205860.1137254843,0.07070285188901844,0.5606523074149654,,0.0
175,1998-10-01,8106.117647058823,1963159.3803921388,179550.7882352941,2150816.286274492,2142710.168627433,0.08379611524889989,0.9962311436365866,0.08379611524889989,0.13
176,1998-11-01,93265.47450980387,1889274.0352940997,168276.77647058823,2150816.286274492,2057550.811764688,0.0817849918983353,0.956637173009624,0.0817849918983353,0.13
177,1998-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
178,1999-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
179,1999-02-01,13391.564705882352,1948427.9411764527,188996.78039215686,2150816.286274492,2137424.7215686096,0.08842266044974731,0.9937737291690876,0.08842266044974731,0.13
180,1999-03-01,13327.01568627451,1945402.874509786,192086.3960784314,2150816.286274492,2137489.2705882173,0.08986543171071497,0.9938037405745338,0.08986543171071497,0.13
181,1999-04-01,875050.7176470561,1144165.8901960636,131599.67843137257,2150816.2862744923,1275765.5686274362,0.10315349596161097,0.5931541325815588,,0.0
182,1999-05-01,1015630.0470588235,1040374.0509803847,94812.18823529412,2150816.2862745025,1135186.2392156788,0.08352126282010044,0.5277932134231562,,0.0
183,1999-06-01,85848.26666666665,1908535.8392156684,156432.18039215688,2150816.286274492,2064968.0196078252,0.07575525572636528,0.9600857278166851,0.07575525572636528,0.13
184,1999-07-01,234.0,1969545.3529411582,181036.93333333332,2150816.2862744913,2150582.2862744913,0.08418042615190895,0.9998912040970244,0.08418042615190895,0.13
185,1999-08-01,60064.847058823536,1937612.1294117467,153139.30980392155,2150816.286274492,2090751.4392156682,0.07324606212461619,0.9720734646458977,0.07324606212461619,0.13
186,1999-09-01,168.0,1972259.4941176288,178388.79215686276,2150816.2862744913,2150648.2862744913,0.08294652049586441,0.9999218901209406,0.08294652049586441,0.13
187,1999-10-01,12471.874509803922,1960341.1215686093,178003.29019607842,2150816.286274492,2138344.411764688,0.08324350802272287,0.9942013297047295,0.08324350802272287,0.13
188,1999-11-01,6422.282352941176,1958406.8627450801,185987.1411764706,2150816.286274492,2144394.0039215507,0.08673179501357842,0.9970140256078935,0.08673179501357842,0.13
189,1999-12-01,2150816.286274491,0.0,0.0,2150816.286274491,0.0,,0.0,,0.0
190,2000-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
191,2000-02-01,9669.399999999998,1950556.7333333152,190590.15294117646,2150816.286274492,2141146.886274492,0.08901311449622008,0.9955043115203723,0.08901311449622008,0.13
192,2000-03-01,8060.870588235293,1953712.533333315,189042.88235294115,2150816.2862744913,2142755.4156862563,0.08822420000389859,0.9962521807930896,0.08822420000389859,0.13
193,2000-04-01,3143.247058823529,1956175.270588217,191497.768627451,2150816.2862744913,2147673.039215668,0.08916523378129575,0.9985385794784604,0.08916523378129575,0.13
194,2000-05-01,2131.6235294117646,1965180.247058805,183504.4156862745,2150816.2862744913,2148684.6627450795,0.08540313935681754,0.9990089234756986,0.08540313935681754,0.13
195,2000-06-01,31354.89411764708,1944493.2117646877,174968.18039215685,2150816.286274492,2119461.3921568445,0.08255313403661606,0.9854218631699324,0.08255313403661606,0.13
196,2000-07-01,2065.0,1976703.8470588052,172047.43921568626,2150816.2862744913,2148751.2862744913,0.08006856834230563,0.9990398994032276,0.08006856834230563,0.13
197,2000-08-01,17048.498039215687,1979039.819607825,154727.968627451,2150816.286274492,2133767.788235276,0.07251396777126255,0.9920734754762592,0.07251396777126255,0.13
198,2000-09-01,3220.494117647059,1978467.2274509622,169128.56470588237,2150816.2862744913,2147595.7921568444,0.07875251261133523,0.9985026642497555,0.07875251261133523,0.13
199,2000-10-01,6812.239215686275,1981030.4745097857,162973.5725490196,2150816.2862744913,2144004.0470588054,0.07601364968158084,0.996832719159159,0.07601364968158084,0.13
200,2000-11-01,27083.843137254902,1964573.3725490014,159159.07058823528,2150816.286274492,2123732.443137237,0.07494308951325387,0.9874076445719276,0.07494308951325387,0.13
201,2000-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
