data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7876334,48,BHR1650,1650,"26 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Capital,,,"Southern Sehla",26.2019,50.5368,1,"Al Wafa",Other,"On 26 June 2019, anti-regime rioters blocked a street in Southern Sehla with burning trash containers. They were denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1618859403,BHR
7876413,48,BHR1652,1652,"26 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Maamir",26.1333,50.6086,1,"Al Wafa",Other,"On 26 June 2019, anti-regime rioters blocked a street in Maamir with burning trash containers. They were denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1618859403,BHR
7884384,48,BHR1644,1644,"26 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,"Northern Sehla",26.2026,50.5304,1,"14 February Revolution Youth Coalition",Other,"On 26/6/2019, a protest was held in Northern Sehla in support of Palestinians, and against Trump's Middle East peace plan and the US-sponsored two-day economic workshop in Manama. Protesters chanted slogans against any potential normalization of ties with Israel. [size=20-50]",0,1618873889,BHR
7994620,48,BHR1643,1643,"26 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,"Manama - Adhari",26.2308,50.5711,1,"14 February Revolution Youth Coalition",Other,"On 26 June 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Adhari with burning tyres. The February 14 Youth Coalition is currently denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1621893472,BHR
7994650,48,BHR1642,1642,"26 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,"Manama - Ghuraifa",26.206,50.6032,1,"14 February Revolution Youth Coalition",Other,"On 26 June 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Ghuraifa with burning trash containers. The February 14 Youth Coalition is currently denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1621893472,BHR
7997689,48,BHR1653,1653,"26 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Capital,,,"Bilad al Qadim",26.2117,50.5619,1,"Al Wafa",Other,"On 26 June 2019, anti-regime rioters blocked a street in Bilad al Qadeem with burning trash containers. They were denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1621903733,BHR
6060192,48,BHR1634,1634,"25 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,Sar,26.1942,50.4819,1,"Al Wafa","New media","On 25/6/2019, a protest was held in Sar in support of Palestinians, and against Trump's Middle East peace plan and the US-sponsored two-day economic workshop in Manama. Protesters chanted slogans against any potential normalization of ties with Israel. [size=20-50]",0,1571164548,BHR
7875756,48,BHR1640,1640,"25 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Akr",26.1431,50.6103,1,"14 February Revolution Youth Coalition",Other,"On 25 June 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Akr with burning trash containers. The February 14 Youth Coalition is currently denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1618859402,BHR
7875894,48,BHR1641,1641,"25 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Muqsha",26.2197,50.5231,1,"14 February Revolution Youth Coalition",Other,"On 25 June 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Muqsha with burning debris. The February 14 Youth Coalition is currently denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1618859402,BHR
7876412,48,BHR1649,1649,"25 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Maamir",26.1333,50.6086,1,"Al Wafa",Other,"On 25 June 2019, anti-regime rioters blocked a street in Maamir with burning trash containers. They were denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1618859403,BHR
7876578,48,BHR1651,1651,"25 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Southern,,,Nuwaidrat,26.1347,50.5975,1,"Al Wafa",Other,"On 25 June 2019, anti-regime rioters blocked a street in Nuwaidrat with burning trash containers. They were denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1618859404,BHR
8749655,48,BHR1631,1631,"25 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"LuaLua TV",National,"On 25/6/2019, a protest was held in Sanabis in support of Palestinians, and against Trump's Middle East peace plan and the US-sponsored two-day economic workshop in Manama. Protesters chanted slogans against any potential normalization of ties with Israel. [size=50-100]",0,1641867731,BHR
8749745,48,BHR1632,1632,"25 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Muharraq,,,Samahij,26.28,50.635,1,"LuaLua TV",National,"On 25/6/2019, a protest was held in Samahij in support of Palestinians, and against Trump's Middle East peace plan and the US-sponsored two-day economic workshop in Manama. Protesters chanted slogans against any potential normalization of ties with Israel. [size=50-100]",0,1641867732,BHR
7876319,48,BHR1648,1648,"24 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Muqsha",26.2197,50.5231,1,"Al Wafa",Other,"On 24 June 2019, anti-regime rioters blocked a street in Muqsha with burning trash containers . They were denouncing the Trump's Middle East peace plan and the US-sponsored economic workshop in Manama. [size=no report]",0,1618859403,BHR
8749506,48,BHR1629,1629,"24 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,"Bilad al Qadim",26.2117,50.5619,1,"LuaLua TV",National,"On 24/6/2019, a protest was held in Bilad al Qadeem in support of Palestinians, and against Trump's Middle East peace plan and the US-sponsored two-day economic workshop in Manama. Protesters chanted slogans against any potential normalization of ties with Israel. [size=50-100]",0,1641867731,BHR
8749569,48,BHR1630,1630,"24 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,"Al Musalla",26.2122,50.5372,1,"LuaLua TV",National,"On 24/6/2019, a protest was held in Musalla in support of Palestinians, and against Trump's Middle East peace plan and the US-sponsored two-day economic workshop in Manama. Protesters chanted slogans against any potential normalization of ties with Israel. [size=50-100]",0,1641867731,BHR
6060109,48,BHR1633,1633,"23 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Karbabad,26.2303,50.5294,1,"Al Wafa","New media","On 23/6/2019, a rally was held in Karbabad in support of Palestinians, and against Trump's Middle East peace plan and the US-sponsored two-day economic workshop in Manama. Protesters chanted slogans against any potential normalization of ties with Israel. [size=20-50]",0,1571164548,BHR
6052900,48,BHR1618,1618,"21 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,"Ash Shakhurah",26.2147,50.5069,1,"Abusaiba Media","New media","On 21/6/2019, a protest was held in Shakhurah in support of Palestinians, and against Trump's Middle East peace plan and the US-sponsored summit scheduled for next week in Bahrain. [size=50-100]",0,1571164539,BHR
6052924,48,BHR1617,1617,"21 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"Abusaiba Media","New media","On 21/6/2019, a protest was held in Abu Saybi in support of Palestinians, and against Trump's Middle East peace plan and the US-sponsored summit scheduled for next week in Bahrain. [size=50-100]",0,1571164539,BHR
7875879,48,BHR1626,1626,"21 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Musalla",26.2122,50.5372,1,"14 February Revolution Youth Coalition",Other,"On 21 June 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Musalla with burning trash containers. The February 14 Youth Coalition is currently denouncing the Trump's Middle East peace plan and the US-sponsored summit in Bahrain. [size=no report]",0,1618859402,BHR
7875974,48,BHR1627,1627,"21 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Muqsha",26.2197,50.5231,1,"14 February Revolution Youth Coalition",Other,"On 21 June 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Muqsha with burning trash containers. The February 14 Youth Coalition is currently denouncing the Trump's Middle East peace plan and the US-sponsored summit in Bahrain. [size=no report]",0,1618859403,BHR
