Program Type,Community Type,Revitalizations ,,Street Address,City Jurisdiction,,Management Agent,Community Name,Property Type,PHA,RAD/PBV,HomeFlex,HomeFlex/Haven,VMS Reporting Total Available HomeFlex Units ,LIHTC,Market,"Other (EE/Officer, Voucher, Other PHA )",TOTAL Units,% Subsidized
HomeFlex,Developments,,,340 Dixie Hills Circle NW,Atlanta,,,Dwell at Alcove,Haven, 	-   , 	-   , 	-   , 	9 ,, 	- 0, 	10 , 	- 0,10,90.0%
HomeFlex,Developments,,,464 Cameron M Alexander Bld NW,Atlanta,,,Herndon Square Senior,Senior, 	-   , 	-   ,97 , 	- 0,, 	- 0, 	- 0, 	- 0,0,
HomeFlex,Developments,,,308 Scott Street SW,Atlanta,,,London Townhomes,Family, 	-   , 	-   ,80 , 	- 0,, 	30 , 	20 , 	- 0,50,160.0%
HomeFlex,Developments,,,1191 Metropolitan Parkway ,Atlanta,,,Capitol Gateway ,Haven, 	-   , 	-   ,32 , 	17 ,, 	53 , 	- 0, 	- 0,53,92.5%
,,,,,,,,,,,,,,,,,,,
,,,,,,,Subtotal - HomeFlex Developments ,,57, 	-   , 	-   ," 	4,457 ", 	551 , 	-   ," 	1,666 ", 	874 , 	504 ,,
,,,,,,,,,,,,,,,,,,,
Mixed,Sponsored,John Hope Homes,1,600 Greensferry Avenue,Atlanta,,HJ Russell,Villages at Castleberry Hill I,Family, 	- 0, 	66 , 	-   , 	-   ,66 , 	36 , 	64 , 	- 0,166 ,39.8%
Mixed,Sponsored,,,"150 Tenth Street, NE",Atlanta,,,Juniper & Tenth Highrise,Senior, 	- 0, 	149 , 	-   , 	-   ,149 , 	- 0, 	- 0, 	- 0,149 ,100%
Mixed,Sponsored,,,3601 Piedmont Road NE,Atlanta,,,Piedmont Road Highrise,Senior, 	- 0, 	207 , 	-   , 	-   ,207 , 	- 0, 	- 0, 	1 ,208 ,100%
HomeFlex/Mixed,Sponsored,East Lake Meadows,1,"2524 Martin Luther King, Jr. Drive",Atlanta,,Columbia - AHP,Columbia Commons,Family, 	- 0, 	48 ,15, 	-   ,63 , 	21 , 	74 , 	- 0,158 ,39.9%
Mixed,Sponsored,Perry Homes,,1710 Noel Street,Atlanta,,Columbia - AHP,Columbia Estates,Family, 	- 0, 	50 , 	-   , 	-   ,50 , 	14 , 	60 , 	- 0,124 ,40.3%
Mixed,Sponsored,Perry Homes,,921 Westmoreland Avenue,Atlanta,,Columbia - AHP,Columbia Park Citi,Family, 	- 0, 	61 , 	-   , 	-   ,61 , 	19 , 	72 , 	2 ,154 ,39.6%
HomeFlex/Mixed,Sponsored,McDaniel Glenn,1,500 McDaniel Street,Atlanta,,Columbia - AHP,Columbia Mechanicsville Apartments,Family, 	- 0, 	62 ,35, 	-   ,97 , 	29 , 	48 , 	- 0,174 ,55.7%
HomeFlex/Mixed,Sponsored,McDaniel Glenn,,555 McDaniel Street,Atlanta,,Columbia - AHP,Columbia Senior Residences at Mechanicsville,Senior, 	- 0, 	54 ,81, 	-   ,135 , 	15 , 	5 , 	- 0,155 ,87.1%
HomeFlex/Mixed,Sponsored,McDaniel Glenn,,565 McDaniel Street SW,Atlanta,,Columbia,Parkside at Mechanicsville,Family, 	- 0, 	47 ,32, 	-   ,79 , 	53 , 	24 , 	- 0,156 ,50.6%
Mixed,Sponsored,East Lake Meadows,,460 Eastlake Boulevard,Atlanta,,Columbia - AHP,Villages of East Lake I,Family, 	- 0, 	91 , 	-   , 	-   ,91 , 	- 0, 	91 , 	- 0,182 ,50.0%
Mixed,Sponsored,East Lake Meadows,,460 Eastlake Boulevard,Atlanta,,Columbia - AHP,Villages of East Lake II,Family, 	- 0, 	180 , 	-   , 	-   ,180 , 	- 0, 	180 , 	- 0,360 ,50.0%
Mixed,Sponsored,,,"2240 Peachtree Road, NW",Atlanta,,,Peachtree Road Highrise,Senior, 	- 0, 	196 , 	-   , 	-   ,196 , 	-   , 	-   , 	-   ,196 ,100%
Mixed,Sponsored,,,"2295 Marietta Road, NW",Atlanta,,,Marietta Road Highrise,Senior, 	- 0, 	129 , 	-   , 	-   ,129 , 	-   , 	-   , 	-   ,129 ,100%
Mixed,Sponsored,East Lake Meadows,,100 Jessica Avenue,Decatur,,Columbia - AHP,Columbia Village,Family, 	-   , 	30 , 	-   , 	-   ,30 , 	69 , 	1 , 	- 0,100 ,30.0%
,,,,,,,,,,,,,,,,,,,
,,,,,,,Subtotal - RAD Section 8 Projects,,14, 	-   ," 	1,370 ", 	163 , 	-   ," 	1,533 ", 	256 , 	619 , 	3 ," 	2,411 ",63.6%
Mixed,Sponsored,,,"2610 MLK Drive, SW",Atlanta,,,Hightower Manor Highrise,Senior, 	-   , 	129 , 	-   , 	-   ,, 	-   , 	-   , 	1 ,130 ,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,Subtotal - RAD Section 9 Projects,,1, 	-   , 	129 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 ,,
,,,,,,,,,,,,,,,,,,,
HomeFlex/Mixed,Sponsored,Grady Homes,1,357 Auburn Pointe Drive SE,Atlanta,,Integral Property Management,Ashley Auburn Pointe I,Family,54, 	-   , 	-   ,8,, 	31 , 	61 , 	- 0,146 ,42.5%
Mixed,Sponsored,Grady Homes,,357 Auburn Pointe Drive SE,Atlanta,,Integral Property Management,Ashley Auburn Pointe II,Family,51, 	-   , 	-   , 	-   ,, 	39 , 	60 , 	- 0,150 ,34.0%
Mixed,Sponsored,Harris Homes,,387 Joseph E. Lowery Boulevard,Atlanta,,Integral Property Management,Ashley CollegeTown I,Family,78, 	-   , 	-   , 	-   ,, 	43 , 	78 , 	- 0,199 ,39.2%
