GEOID,class,value,year
13135050214,41,2116.2549019607845,2001
13135050214,82,15.0,2001
13135050214,81,1263.9803921568628,2001
13135050214,23,779.0392156862745,2001
13135050214,42,464.043137254902,2001
13135050214,22,1777.329411764706,2001
13135050214,21,1573.3686274509805,2001
13135050220,52,5.0,2001
13135050220,11,138.99607843137252,2001
13135050220,95,1.0,2001
13135050220,31,3.0,2001
13135050220,71,4.509803921568627,2001
13135050220,24,580.0,2001
13135050220,90,17.333333333333336,2001
13135050220,22,566.5764705882355,2001
13135050220,41,702.3960784313723,2001
13135050220,23,534.686274509804,2001
13135050220,81,172.74117647058824,2001
13135050220,42,150.0705882352941,2001
13135050220,43,74.12549019607843,2001
13135050220,21,813.2980392156862,2001
13135050531,31,98.0,2001
13135050531,11,35.0,2001
13135050531,52,2.0,2001
13135050531,71,32.0,2001
13135050531,24,39.0,2001
13135050531,90,472.7764705882353,2001
13135050531,22,1064.0823529411764,2001
13135050531,23,398.45098039215685,2001
13135050531,41,1034.909803921568,2001
13135050531,81,87.05882352941177,2001
13135050531,42,1007.3686274509805,2001
13135050531,43,451.73333333333335,2001
13135050531,21,1733.3254901960781,2001
13135050544,31,354.3686274509803,2001
13135050544,11,11.0,2001
13135050544,52,16.95686274509804,2001
13135050544,71,76.25882352941177,2001
13135050544,24,119.0,2001
13135050544,90,24.427450980392155,2001
13135050544,22,1569.5490196078433,2001
13135050544,41,1922.36862745098,2001
13135050544,23,555.0078431372549,2001
13135050544,81,667.8117647058823,2001
13135050544,42,1161.4705882352941,2001
13135050544,43,420.25490196078425,2001
13135050544,21,1788.5450980392159,2001
13135050546,52,69.0,2001
13135050546,11,146.7176470588236,2001
13135050546,95,9.8,2001
13135050546,31,260.0,2001
13135050546,71,622.564705882353,2001
13135050546,24,67.0,2001
13135050546,90,527.0039215686274,2001
13135050546,42,3674.0,2001
13135050546,41,4966.298039215686,2001
13135050546,81,2342.2235294117645,2001
13135050546,23,643.9960784313726,2001
13135050546,43,1420.2666666666667,2001
13135050546,22,2537.035294117647,2001
13135050546,21,2347.6705882352944,2001
13135050537,11,1.0,2001
13135050537,95,1.0,2001
13135050537,31,153.0,2001
13135050537,71,51.0,2001
13135050537,24,521.0,2001
13135050537,90,153.0,2001
13135050537,22,544.1019607843136,2001
13135050537,42,140.3529411764706,2001
13135050537,23,595.9176470588236,2001
13135050537,81,30.894117647058824,2001
13135050537,41,295.9764705882353,2001
13135050537,43,74.0,2001
13135050537,21,497.0,2001
13135050607,95,6.0,2001
13135050607,52,121.0,2001
13135050607,11,85.87450980392157,2001
13135050607,31,481.0,2001
13135050607,71,611.0666666666667,2001
13135050607,24,573.3843137254902,2001
13135050607,90,916.349019607843,2001
13135050607,43,1186.6313725490197,2001
13135050607,41,9838.635294117648,2001
13135050607,81,2684.9098039215687,2001
13135050607,23,1404.1254901960783,2001
13135050607,42,3765.396078431374,2001
13135050607,22,2771.3490196078433,2001
13135050607,21,2580.18431372549,2001
13135050608,52,994.8392156862745,2001
13135050608,11,253.11764705882354,2001
13135050608,95,17.172549019607843,2001
13135050608,31,266.0,2001
13135050608,71,2105.619607843137,2001
13135050608,24,492.60392156862747,2001
13135050608,90,2966.3647058823544,2001
13135050608,22,5093.701960784314,2001
13135050608,41,28544.098039215685,2001
13135050608,23,1398.8627450980393,2001
13135050608,81,17128.058823529413,2001
13135050608,42,14970.635294117648,2001
13135050608,43,7107.55294117647,2001
13135050608,21,5411.125490196078,2001
13135050608,0,8.862745098039214,2001
13135050548,52,38.0,2001
13135050548,11,219.0,2001
13135050548,95,2.0,2001
13135050548,31,221.13725490196077,2001
13135050548,71,154.83529411764707,2001
13135050548,24,1336.0,2001
13135050548,90,54.08235294117647,2001
13135050548,22,3292.5568627450984,2001
13135050548,42,2100.478431372549,2001
13135050548,23,1729.3803921568629,2001
13135050548,81,1401.8980392156861,2001
13135050548,41,3897.96862745098,2001
13135050548,43,519.2078431372549,2001
13135050548,21,3613.1098039215685,2001
13135050724,52,47.98823529411764,2001
13135050724,95,3.203921568627451,2001
13135050724,11,370.04705882352937,2001
13135050724,31,285.93333333333334,2001
13135050724,71,600.4588235294117,2001
13135050724,24,201.35294117647058,2001
13135050724,90,122.9764705882353,2001
13135050724,22,2672.9176470588236,2001
13135050724,41,5016.513725490198,2001
13135050724,81,6738.603921568628,2001
13135050724,23,789.3098039215683,2001
13135050724,42,5122.019607843137,2001
13135050724,43,836.3294117647058,2001
13135050724,21,2257.8313725490198,2001
13135050724,0,0.00392156862745098,2001
13135050523,52,23.0,2001
13135050523,11,98.03529411764706,2001
13135050523,31,250.0,2001
13135050523,71,47.92156862745098,2001
13135050523,24,640.9960784313726,2001
13135050523,90,31.909803921568624,2001
13135050523,22,991.9764705882354,2001
13135050523,41,1800.9372549019608,2001
13135050523,81,171.94117647058823,2001
13135050523,23,752.8901960784314,2001
13135050523,42,829.3882352941176,2001
13135050523,43,182.76862745098038,2001
13135050523,21,907.3843137254903,2001
13135050609,31,267.71372549019605,2001
13135050609,11,207.0,2001
13135050609,95,2.0,2001
13135050609,52,41.14901960784314,2001
13135050609,71,336.7607843137255,2001
13135050609,24,177.26666666666665,2001
13135050609,90,440.6823529411764,2001
13135050609,43,1407.4627450980392,2001
13135050609,41,12446.713725490197,2001
13135050609,81,3721.3019607843135,2001
13135050609,23,848.3882352941175,2001
13135050609,42,2895.482352941176,2001
13135050609,22,2517.6196078431376,2001
13135050609,21,4114.243137254902,2001
13135050609,0,0.043137254901960784,2001
13135050728,52,92.6,2001
13135050728,11,291.6509803921569,2001
13135050728,95,6.0,2001
13135050728,31,267.7450980392157,2001
13135050728,71,454.36470588235295,2001
13135050728,24,116.0,2001
13135050728,90,469.19999999999993,2001
13135050728,22,2349.729411764706,2001
13135050728,42,7032.290196078432,2001
13135050728,23,497.0,2001
13135050728,81,5676.172549019609,2001
13135050728,41,6474.764705882355,2001
13135050728,43,2224.9215686274506,2001
13135050728,21,2917.192156862745,2001
13135050728,0,0.01568627450980392,2001
13135050216,31,441.6313725490196,2001
13135050216,95,2.0,2001
13135050216,11,99.43137254901961,2001
13135050216,52,15.0,2001
13135050216,71,291.0,2001
13135050216,24,583.0,2001
13135050216,90,286.57647058823534,2001
13135050216,22,1652.1254901960783,2001
13135050216,41,4295.6274509803925,2001
13135050216,81,353.89803921568625,2001
13135050216,23,966.0235294117647,2001
13135050216,42,1333.043137254902,2001
13135050216,43,351.87450980392157,2001
13135050216,21,1798.7372549019606,2001
13135050431,52,2.0,2001
13135050431,11,30.211764705882352,2001
13135050431,31,68.0156862745098,2001
13135050431,71,37.0,2001
13135050431,24,239.72156862745098,2001
13135050431,90,80.36470588235294,2001
13135050431,22,650.6196078431373,2001
13135050431,42,747.0901960784314,2001
13135050431,23,385.8549019607843,2001
13135050431,81,192.06666666666666,2001
13135050431,41,989.9490196078431,2001
13135050431,43,272.1058823529412,2001
13135050431,21,1023.5764705882356,2001
13135050308,52,7.764705882352941,2001
13135050308,11,238.30588235294113,2001
13135050308,95,9.0,2001
13135050308,31,51.0,2001
13135050308,71,13.0,2001
13135050308,24,166.0,2001
13135050308,90,63.67843137254902,2001
13135050308,43,218.96470588235294,2001
13135050308,41,519.6549019607844,2001
13135050308,81,109.63529411764706,2001
13135050308,23,611.9529411764706,2001
13135050308,42,499.79999999999995,2001
13135050308,22,986.7725490196078,2001
13135050308,21,1107.0980392156862,2001
